"HHID","SID","personality__satisfaction_satHealth.2005","personality__satisfaction_satHealth.2009","personality__satisfaction_satHealth.2013","personality__satisfaction_satIncome.2005","personality__satisfaction_satIncome.2009","personality__satisfaction_satIncome.2013","personality__satisfaction_satLife.2005","personality__satisfaction_satLife.2009","personality__satisfaction_satLife.2013","personality__A_coarse.2005","personality__A_coarse.2009","personality__A_coarse.2013","personality__A_forgive.2005","personality__A_forgive.2009","personality__A_forgive.2013","personality__A_friendly.2005","personality__A_friendly.2009","personality__A_friendly.2013","personality__C_efficient.2005","personality__C_efficient.2009","personality__C_efficient.2013","personality__C_lazy.2005","personality__C_lazy.2009","personality__C_lazy.2013","personality__C_thorough.2005","personality__C_thorough.2009","personality__C_thorough.2013","personality__E_cmmnctv.2005","personality__E_cmmnctv.2009","personality__E_cmmnctv.2013","personality__E_reserved.2005","personality__E_reserved.2009","personality__E_reserved.2013","personality__E_sociable.2005","personality__E_sociable.2009","personality__E_sociable.2013","personality__N_dealStrss.2005","personality__N_dealStrss.2009","personality__N_dealStrss.2013","personality__N_nervous.2005","personality__N_nervous.2009","personality__N_nervous.2013","personality__N_worry.2005","personality__N_worry.2009","personality__N_worry.2013","personality__O_artExp.2005","personality__O_artExp.2009","personality__O_artExp.2013","personality__O_imagn.2005","personality__O_imagn.2009","personality__O_imagn.2013","personality__O_original.2005","personality__O_original.2009","personality__O_original.2013","predictor__currHealth_currHealth.2005","DOB","Sex","Age"
251771,2517702,9,NA,NA,3,NA,NA,4,NA,NA,6,NA,NA,5,NA,NA,4,NA,NA,6,NA,NA,1,NA,NA,7,NA,NA,5,NA,NA,3,NA,NA,5,NA,NA,5,NA,NA,3,NA,NA,2,NA,NA,4,NA,NA,5,NA,NA,4,NA,NA,1,1983,1,22
251771,2517703,9,7,NA,7,3,NA,9,3,NA,3,2,NA,6,4,NA,6,5,NA,7,5,NA,1,4,NA,7,4,NA,5,2,NA,3,6,NA,5,2,NA,4,4,NA,3,4,NA,2,6,NA,3,6,NA,4,6,NA,5,5,NA,1,1967,1,38
251780,2517801,10,NA,NA,8,NA,NA,9,NA,NA,4,NA,NA,5,NA,NA,7,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,6,NA,NA,4,NA,NA,5,NA,NA,6,NA,NA,1,NA,NA,2,NA,NA,5,NA,NA,5,NA,NA,7,NA,NA,1,1963,1,42
251780,2517802,9,NA,NA,8,NA,NA,8,NA,NA,3,NA,NA,6,NA,NA,6,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,5,NA,NA,4,NA,NA,5,NA,NA,4,NA,NA,3,NA,NA,2,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,1,1967,2,38
251798,2517901,8,NA,NA,5,NA,NA,7,NA,NA,4,NA,NA,7,NA,NA,7,NA,NA,6,NA,NA,1,NA,NA,7,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,5,NA,NA,4,NA,NA,4,NA,NA,3,NA,NA,3,NA,NA,3,NA,NA,2,1957,2,48
251798,2517902,4,NA,NA,5,NA,NA,6,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,4,NA,NA,5,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,3,NA,NA,3,NA,NA,2,NA,NA,4,1954,1,51
251798,2517904,9,NA,NA,5,NA,NA,9,NA,NA,4,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,6,NA,NA,4,NA,NA,4,NA,NA,5,NA,NA,3,NA,NA,2,NA,NA,3,NA,NA,4,NA,NA,3,NA,NA,1,1981,2,24
251798,2517905,10,NA,NA,5,NA,NA,8,NA,NA,4,NA,NA,5,NA,NA,5,NA,NA,6,NA,NA,2,NA,NA,7,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,5,NA,NA,2,NA,NA,2,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,1,1987,1,18
251895,2518901,8,NA,NA,3,NA,NA,7,NA,NA,3,NA,NA,4,NA,NA,5,NA,NA,6,NA,NA,2,NA,NA,7,NA,NA,5,NA,NA,4,NA,NA,2,NA,NA,3,NA,NA,6,NA,NA,5,NA,NA,5,NA,NA,4,NA,NA,3,NA,NA,3,1967,2,38
251895,2518902,9,NA,NA,3,NA,NA,6,NA,NA,1,NA,NA,5,NA,NA,7,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,6,NA,NA,6,NA,NA,6,NA,NA,3,NA,NA,3,NA,NA,6,NA,NA,5,NA,NA,5,NA,NA,6,NA,NA,1,1966,1,39
251909,2519001,4,9,6,5,9,8,6,6,7,1,2,4,3,5,6,4,4,6,4,4,6,2,2,1,4,6,4,4,6,4,3,4,6,5,4,6,3,2,5,3,1,5,3,3,4,5,1,6,6,4,4,5,4,4,2,1928,2,77
251933,2519301,4,6,9,1,3,2,8,5,6,4,6,4,4,5,6,5,4,6,4,7,4,2,5,4,6,7,4,6,6,5,5,6,6,4,4,3,6,4,4,2,1,3,4,7,6,3,5,6,6,6,7,4,6,3,3,1953,2,52
251933,2519302,1,9,7,1,4,3,2,5,8,1,1,1,7,5,7,6,6,7,-1,7,6,1,1,1,6,5,6,6,5,4,6,6,6,5,3,4,4,3,4,7,7,3,6,5,4,7,-1,1,5,6,3,3,3,1,3,1941,1,64
251950,2519501,7,8,3,8,6,3,7,8,6,3,1,1,4,6,7,3,6,6,3,6,6,1,2,1,5,6,7,5,6,5,3,6,6,3,6,6,4,5,6,3,2,2,4,6,5,3,6,5,3,2,2,3,5,4,2,1949,1,56
251950,2519502,8,8,NA,8,6,NA,8,6,NA,5,5,NA,5,5,NA,6,6,NA,6,6,NA,2,2,NA,7,6,NA,6,6,NA,2,4,NA,5,5,NA,5,5,NA,6,5,NA,7,6,NA,5,6,NA,6,4,NA,6,6,NA,2,1950,2,55
251976,2519701,8,8,9,8,8,9,9,8,7,4,3,5,6,3,5,5,3,5,6,5,6,3,3,3,6,6,6,4,6,5,3,4,3,3,1,5,5,3,5,3,3,5,6,5,4,5,5,6,5,5,4,6,4,5,3,1945,1,60
251976,2519702,7,6,3,7,5,5,9,5,7,5,4,5,5,5,6,6,5,7,7,2,6,1,2,2,7,5,6,4,4,3,6,2,7,3,2,2,5,2,5,5,3,3,6,6,6,4,3,4,5,2,5,6,4,5,2,1949,2,56
251984,2519801,6,8,5,4,10,8,9,8,6,2,2,2,2,4,4,5,5,6,6,7,5,2,1,1,6,7,5,5,7,6,3,4,5,6,6,7,3,2,2,4,7,5,6,4,6,6,3,2,4,4,6,3,2,5,3,1927,2,78
251992,2519901,5,8,8,3,5,7,8,7,7,5,5,4,6,6,5,6,7,5,6,6,6,1,5,3,7,7,6,5,3,3,4,7,6,5,4,3,2,3,3,2,3,3,3,6,5,3,3,3,3,4,4,4,4,4,3,1942,1,63
251992,2519902,10,9,8,5,7,7,6,8,8,1,2,2,6,4,6,7,5,6,6,4,5,3,2,1,6,4,6,6,6,7,6,5,5,4,5,2,3,3,3,4,4,4,5,6,5,4,5,6,6,6,4,5,2,4,2,1946,2,59
252026,2520201,0,NA,NA,5,NA,NA,6,NA,NA,2,NA,NA,7,NA,NA,6,NA,NA,5,NA,NA,1,NA,NA,7,NA,NA,7,NA,NA,4,NA,NA,7,NA,NA,5,NA,NA,2,NA,NA,5,NA,NA,4,NA,NA,6,NA,NA,5,NA,NA,5,1920,2,85
252115,2521101,7,6,6,9,7,7,6,7,7,4,4,2,4,5,4,5,6,6,6,6,6,3,2,1,6,7,7,6,6,5,2,2,4,6,6,5,5,5,6,3,5,1,6,6,5,4,4,6,2,5,5,5,5,5,3,1954,1,51
252115,2521102,7,8,8,8,8,8,8,7,8,1,2,1,7,7,5,6,6,6,6,5,6,2,5,1,6,5,6,4,5,5,6,5,4,5,5,5,2,4,4,5,5,4,6,6,4,6,6,6,6,6,4,4,4,6,2,1954,2,51
252115,2521103,8,9,8,4,9,10,8,9,8,2,3,3,4,6,7,7,6,7,7,5,5,2,4,2,7,6,5,7,5,5,1,5,3,7,5,6,6,6,6,3,4,5,6,3,3,7,4,7,5,6,6,7,5,6,2,1983,1,22
252115,2521104,4,8,7,8,7,8,6,6,7,5,3,2,5,3,4,6,6,6,5,6,5,4,4,2,6,5,6,6,5,5,3,4,3,4,5,5,4,4,5,3,4,2,6,6,4,3,3,5,5,6,6,5,4,5,3,1984,1,21
252123,2521201,8,NA,NA,4,NA,NA,8,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,5,NA,NA,2,NA,NA,4,NA,NA,7,NA,NA,3,NA,NA,5,NA,NA,4,NA,NA,4,NA,NA,3,NA,NA,2,NA,NA,2,NA,NA,3,NA,NA,2,1968,1,37
252123,2521202,7,NA,NA,8,NA,NA,7,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,5,NA,NA,4,NA,NA,5,NA,NA,4,NA,NA,6,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,5,NA,NA,2,NA,NA,3,NA,NA,2,NA,NA,3,1969,2,36
252131,2521301,7,8,5,8,10,8,8,8,8,3,2,1,5,7,6,5,7,7,7,7,6,2,2,1,7,6,6,7,6,6,5,7,4,5,7,6,4,4,6,5,2,1,6,5,3,5,6,6,5,3,5,3,6,6,3,1930,1,75
252131,2521302,8,8,5,8,10,8,8,8,8,3,3,1,5,7,6,5,7,7,7,7,6,2,2,1,6,7,6,3,7,6,5,7,4,5,7,6,4,5,5,4,3,1,6,5,3,5,6,6,2,1,5,3,5,6,3,1934,2,71
252140,2521401,6,4,NA,7,7,NA,9,6,NA,4,5,NA,5,4,NA,6,4,NA,-1,6,NA,1,1,NA,6,7,NA,5,5,NA,2,4,NA,5,4,NA,5,5,NA,2,6,NA,4,5,NA,2,4,NA,4,4,NA,5,4,NA,4,1927,1,78
252166,2521601,8,3,7,8,7,8,7,7,8,1,3,2,5,5,6,6,6,6,3,3,4,1,4,3,4,4,4,4,3,3,3,6,5,3,3,3,2,2,2,6,5,5,6,4,3,6,5,6,4,4,5,5,4,5,2,1953,1,52
252166,2521602,5,4,3,6,6,7,7,4,7,4,5,3,5,6,6,3,6,5,2,6,7,3,6,2,2,6,6,2,6,7,3,4,-1,4,4,5,3,3,4,6,5,5,5,6,5,5,5,6,5,5,-1,5,5,4,4,1952,2,53
252166,2521603,9,9,9,10,9,8,9,8,8,6,2,2,7,6,6,6,6,6,5,5,5,2,3,1,6,6,6,4,5,5,6,6,6,4,6,4,2,3,3,6,6,5,3,6,5,6,5,6,3,2,1,4,4,2,2,1985,1,20
252301,2523001,7,NA,NA,7,NA,NA,7,NA,NA,6,NA,NA,7,NA,NA,7,NA,NA,6,NA,NA,1,NA,NA,7,NA,NA,3,NA,NA,2,NA,NA,4,NA,NA,7,NA,NA,2,NA,NA,7,NA,NA,2,NA,NA,4,NA,NA,4,NA,NA,3,1946,1,59
252301,2523002,8,NA,NA,8,NA,NA,8,NA,NA,2,NA,NA,7,NA,NA,6,NA,NA,6,NA,NA,1,NA,NA,6,NA,NA,7,NA,NA,6,NA,NA,7,NA,NA,6,NA,NA,5,NA,NA,5,NA,NA,3,NA,NA,7,NA,NA,4,NA,NA,2,1957,2,48
252328,2523202,8,NA,NA,6,NA,NA,7,NA,NA,1,NA,NA,2,NA,NA,6,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,5,NA,NA,5,NA,NA,4,NA,NA,7,NA,NA,5,NA,NA,2,NA,NA,1,NA,NA,4,NA,NA,5,NA,NA,2,1942,2,63
252344,2523401,8,6,7,8,8,7,8,8,8,2,5,4,6,6,5,6,5,4,6,6,6,4,3,4,6,6,6,5,5,5,4,4,4,6,4,5,5,5,5,2,2,2,6,4,3,3,1,2,6,6,5,4,5,4,2,1960,1,45
252344,2523402,8,8,5,5,8,7,7,8,8,2,3,5,7,5,6,7,5,6,7,5,7,1,2,2,7,6,6,7,6,7,5,3,6,7,5,6,5,5,3,2,2,4,4,2,6,5,2,2,7,6,7,7,4,5,2,1968,2,37
252344,2523403,NA,NA,5,NA,NA,5,NA,NA,6,NA,NA,2,NA,NA,7,NA,NA,7,NA,NA,6,NA,NA,1,NA,NA,7,NA,NA,7,NA,NA,5,NA,NA,4,NA,NA,1,NA,NA,5,NA,NA,7,NA,NA,5,NA,NA,6,NA,NA,5,NA,1992,2,13
252344,2523404,NA,NA,7,NA,NA,-1,NA,NA,6,NA,NA,5,NA,NA,4,NA,NA,5,NA,NA,6,NA,NA,5,NA,NA,7,NA,NA,7,NA,NA,4,NA,NA,7,NA,NA,1,NA,NA,6,NA,NA,4,NA,NA,4,NA,NA,7,NA,NA,4,NA,1994,2,11
252360,2523601,10,9,9,7,8,9,9,8,9,1,1,3,7,6,7,6,7,7,6,7,7,1,1,1,7,7,7,5,4,3,6,7,7,2,4,3,5,5,7,7,7,5,4,1,3,7,7,7,6,7,5,7,7,7,1,1957,1,48
252360,2523602,7,6,8,9,8,8,9,9,10,1,7,6,6,7,7,6,7,7,6,7,7,7,7,4,7,7,7,7,7,6,4,1,5,7,7,5,7,5,5,2,7,7,7,6,5,7,7,7,7,7,7,7,7,6,3,1957,2,48
252409,2524001,9,8,9,8,5,8,7,6,8,6,4,4,6,6,7,5,4,6,6,5,5,1,1,3,5,6,7,6,5,5,4,5,4,4,2,3,4,4,4,5,5,3,6,6,4,2,2,3,3,3,3,3,2,2,2,1962,2,43
252409,2524002,9,8,9,9,7,7,9,9,9,2,1,1,5,6,5,6,6,6,6,6,5,2,4,3,6,6,7,5,2,3,5,6,4,5,2,4,6,6,6,2,2,2,2,3,2,6,5,5,5,2,5,6,3,3,1,1967,1,38
252417,2524101,9,8,8,9,8,9,9,8,8,5,7,5,6,6,5,6,7,6,7,7,5,7,1,1,6,7,6,6,7,5,5,4,6,5,5,5,7,7,6,1,1,1,3,1,5,4,7,7,6,7,6,5,7,6,2,1964,1,41
252417,2524102,8,9,10,8,8,9,9,9,9,2,2,1,6,6,7,6,5,7,5,5,7,2,1,1,6,4,7,6,5,5,5,4,6,5,7,7,5,4,6,4,4,2,3,3,4,6,7,7,5,4,5,5,3,5,2,1968,2,37
252492,2524901,NA,6,NA,NA,9,NA,NA,9,NA,NA,7,NA,NA,7,NA,NA,6,NA,NA,7,NA,NA,1,NA,NA,-1,NA,NA,7,NA,NA,6,NA,NA,5,NA,NA,2,NA,NA,3,NA,NA,7,NA,NA,5,NA,NA,2,NA,NA,7,NA,NA,1916,1,89
252522,2525201,8,8,NA,8,8,NA,8,7,NA,1,2,NA,7,2,NA,7,6,NA,7,6,NA,1,2,NA,7,7,NA,7,2,NA,6,6,NA,5,2,NA,7,7,NA,1,2,NA,7,4,NA,1,2,NA,2,7,NA,5,2,NA,2,1950,1,55
252522,2525202,10,NA,NA,6,NA,NA,8,NA,NA,1,NA,NA,6,NA,NA,7,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,7,NA,NA,6,NA,NA,7,NA,NA,5,NA,NA,6,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,4,NA,NA,1,1957,2,48
252530,2525301,8,8,7,8,8,7,8,6,8,1,1,1,7,7,6,7,7,7,7,7,7,1,1,1,7,7,7,7,7,5,7,7,7,5,1,1,1,3,7,7,7,7,1,4,5,4,1,7,1,1,1,3,1,1,2,1940,2,65
252549,2525401,8,9,9,8,9,10,9,8,6,7,4,6,7,7,6,7,7,6,6,7,7,7,1,1,7,7,7,7,5,7,6,7,4,6,4,4,7,7,4,4,1,4,6,1,4,1,4,1,7,7,4,3,4,4,2,1941,1,64
252549,2525402,8,6,4,8,8,10,8,8,10,4,3,4,5,7,7,7,7,7,7,5,7,1,1,1,7,7,7,3,7,7,5,7,4,3,5,7,4,7,4,7,5,4,4,2,1,7,5,7,7,7,7,3,3,7,3,1942,2,63
252603,2526001,7,7,7,7,4,7,5,8,8,1,2,1,6,6,7,7,6,7,3,6,5,5,6,5,6,4,6,7,7,6,3,4,5,5,6,5,7,6,6,2,2,2,4,3,1,5,6,6,5,6,5,4,5,4,4,1944,2,61
252603,2526002,4,4,4,5,3,3,6,5,5,7,6,6,6,6,-1,4,2,3,5,1,4,7,7,5,5,5,5,6,6,5,4,2,1,5,4,5,6,5,5,4,3,4,5,5,3,4,4,-1,7,5,5,5,4,5,4,1977,1,28
252611,2526101,5,6,3,8,8,8,7,8,7,3,6,7,6,5,4,7,5,6,4,3,4,5,5,6,6,4,5,7,7,7,2,2,1,7,7,7,4,6,4,4,3,2,4,3,3,6,5,4,4,5,3,3,6,5,4,1966,1,39
252700,2527001,7,8,9,7,8,9,6,7,7,3,4,5,5,6,5,4,4,4,6,6,6,1,1,1,5,6,3,5,6,5,2,2,2,5,4,5,3,4,5,5,3,3,6,5,4,4,5,3,6,4,5,5,4,6,2,1971,1,34
252700,2527002,6,8,6,8,8,7,5,7,7,2,3,4,6,4,6,6,6,6,5,6,6,2,3,1,6,7,7,4,4,3,6,5,6,4,4,3,3,4,5,2,3,2,3,5,3,2,6,6,4,5,6,4,5,3,3,1971,2,34
252719,2527101,7,7,NA,5,6,NA,7,-1,NA,1,3,NA,7,3,NA,7,3,NA,6,3,NA,2,3,NA,6,3,NA,6,3,NA,7,3,NA,4,3,NA,1,3,NA,7,3,NA,7,3,NA,7,3,NA,6,3,NA,5,3,NA,3,1954,1,51
252735,2527301,10,10,NA,0,2,NA,0,3,NA,2,1,NA,3,2,NA,7,6,NA,7,5,NA,1,4,NA,7,7,NA,5,7,NA,5,6,NA,3,7,NA,2,2,NA,2,5,NA,4,6,NA,7,6,NA,7,5,NA,4,4,NA,2,1954,1,51
252751,2527501,8,7,2,6,8,9,5,7,7,6,3,3,3,4,6,6,4,6,5,5,7,3,2,3,6,6,7,2,7,2,6,4,6,2,5,3,5,5,3,7,4,6,6,4,5,6,5,7,5,4,5,4,4,4,3,1931,1,74
252751,2527502,5,5,4,8,9,9,5,7,2,3,4,4,7,5,7,6,5,7,6,4,6,2,2,3,7,5,7,7,6,7,3,3,4,6,5,6,2,4,5,6,4,4,7,5,6,7,5,7,6,5,7,5,4,6,4,1932,2,73
252760,2527601,8,5,5,0,5,4,2,8,8,3,1,5,7,7,5,7,4,5,6,5,5,3,4,3,6,7,6,6,7,6,4,4,3,5,4,4,7,4,5,3,3,2,5,7,6,7,4,4,7,3,5,4,7,6,2,1953,1,52
252760,2527602,6,5,4,0,2,6,2,6,9,5,3,4,7,3,6,7,5,5,7,3,6,1,2,2,6,5,7,3,5,6,5,4,4,7,4,5,2,4,6,7,3,3,7,5,5,7,3,5,7,4,5,4,4,4,3,1962,2,43
252760,2527603,9,8,6,-1,5,5,9,8,7,3,6,6,6,6,6,6,7,6,5,6,5,6,5,4,6,7,7,5,4,7,5,5,3,5,5,6,6,5,5,2,3,2,6,5,3,3,7,6,4,6,5,6,5,6,1,1987,1,18
252760,2527604,NA,NA,6,NA,NA,0,NA,NA,6,NA,NA,1,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,1,NA,NA,5,NA,NA,6,NA,NA,1,NA,NA,5,NA,NA,5,NA,NA,3,NA,NA,7,NA,NA,5,NA,NA,7,NA,NA,7,NA,1987,2,18
252778,2527701,9,7,8,9,9,9,7,9,9,1,2,2,5,6,6,6,7,5,6,6,5,2,5,2,5,7,6,6,7,6,6,3,4,4,4,4,5,5,5,2,2,3,3,2,2,4,4,5,2,5,4,5,6,4,2,1941,2,64
252778,2527702,NA,0,2,NA,7,8,NA,8,5,NA,2,3,NA,6,5,NA,5,4,NA,4,4,NA,6,5,NA,6,5,NA,6,5,NA,6,4,NA,5,5,NA,5,5,NA,2,4,NA,2,3,NA,6,5,NA,5,5,NA,6,4,NA,1979,1,26
252778,2527703,3,NA,NA,8,NA,NA,8,NA,NA,2,NA,NA,5,NA,NA,6,NA,NA,6,NA,NA,4,NA,NA,6,NA,NA,6,NA,NA,4,NA,NA,6,NA,NA,5,NA,NA,4,NA,NA,3,NA,NA,2,NA,NA,6,NA,NA,5,NA,NA,4,1984,1,21
252816,2528101,7,7,NA,4,2,NA,3,7,NA,4,3,NA,4,5,NA,5,5,NA,5,4,NA,2,3,NA,6,6,NA,5,5,NA,3,4,NA,4,4,NA,3,4,NA,2,3,NA,5,6,NA,6,7,NA,3,6,NA,5,5,NA,3,1968,1,37
252816,2528102,7,4,9,7,6,9,6,7,8,4,4,2,5,5,5,7,5,6,7,7,7,3,5,2,6,6,7,6,5,6,4,4,4,5,5,5,4,4,5,5,6,4,3,2,2,7,7,7,7,7,6,6,6,6,2,1973,2,32
252883,2528801,7,9,NA,9,9,NA,9,10,NA,3,1,NA,7,6,NA,7,6,NA,7,7,NA,2,4,NA,5,-1,NA,7,6,NA,4,4,NA,7,7,NA,4,5,NA,5,5,NA,4,2,NA,5,5,NA,2,6,NA,4,4,NA,3,1930,1,75
252883,2528802,6,3,NA,9,9,NA,9,6,NA,3,1,NA,4,6,NA,6,7,NA,5,7,NA,1,1,NA,6,7,NA,6,7,NA,4,6,NA,4,7,NA,3,5,NA,3,3,NA,6,2,NA,3,6,NA,3,4,NA,-1,4,NA,3,1930,2,75
252891,2528902,6,8,6,7,8,8,8,10,8,1,1,1,7,4,6,7,6,5,4,6,5,3,2,1,5,6,6,7,6,7,2,4,5,6,6,4,3,2,5,5,4,3,7,2,3,7,5,2,5,2,3,2,3,3,3,1926,2,79
252921,2529201,7,4,5,5,5,4,7,8,6,1,4,4,7,6,5,7,6,6,4,6,5,4,3,2,7,6,7,7,6,7,5,4,2,6,6,6,4,6,7,5,6,5,4,4,5,6,3,5,6,6,7,4,4,5,3,1941,2,64
252930,2529301,6,8,7,3,5,8,5,7,5,1,2,1,7,6,6,7,7,7,7,6,7,4,3,6,5,6,6,7,7,6,1,4,6,7,7,6,3,2,2,7,6,6,7,6,6,7,6,6,7,5,7,6,4,6,3,1938,2,67
252948,2529401,4,2,5,4,5,5,6,5,8,1,2,1,7,4,7,7,6,5,7,5,7,2,2,1,5,6,7,7,7,7,3,4,4,5,6,6,3,1,5,5,4,5,7,4,4,7,6,3,1,4,7,4,4,4,4,1932,2,73
252980,2529801,5,7,5,5,8,9,6,9,8,4,3,6,5,4,4,4,4,5,4,5,6,5,2,2,7,6,6,7,6,6,4,3,4,5,4,3,4,4,4,2,2,5,2,4,2,5,4,2,4,4,4,4,4,4,3,1935,1,70
252980,2529802,6,7,5,6,4,7,8,9,8,2,2,3,6,4,6,5,4,5,3,5,4,2,2,2,7,5,5,4,5,4,5,4,4,4,4,3,5,5,4,4,2,5,6,4,6,4,2,-1,4,4,3,4,3,3,3,1940,2,65
252999,2529901,7,3,6,5,2,6,8,3,7,1,5,2,7,3,6,7,3,6,6,6,5,3,2,2,7,6,5,5,2,5,6,4,5,4,2,6,6,5,5,1,1,4,2,1,6,2,2,4,4,5,4,5,4,5,2,1969,1,36
252999,2529902,8,8,8,5,8,6,8,8,8,5,6,6,7,5,5,7,5,5,7,5,6,1,5,1,7,6,6,7,7,6,2,2,2,7,6,6,4,5,5,6,4,5,7,4,5,2,2,2,7,6,5,2,3,5,2,1972,2,33
252999,2529907,4,6,7,6,4,5,7,6,6,3,3,4,7,5,6,7,6,6,7,7,5,3,3,5,7,7,7,7,7,6,4,2,7,6,2,5,4,4,6,2,5,6,5,6,6,5,6,4,6,5,4,5,5,2,3,1948,2,57
253090,2530901,6,5,6,8,3,8,6,4,7,3,2,4,4,3,3,6,6,6,5,6,6,6,5,6,6,6,6,4,4,3,6,5,6,4,3,3,3,3,3,6,6,6,5,6,5,6,6,6,5,6,6,4,4,3,3,1948,1,57
253111,2531101,2,NA,NA,4,NA,NA,6,NA,NA,2,NA,NA,6,NA,NA,7,NA,NA,7,NA,NA,2,NA,NA,6,NA,NA,6,NA,NA,4,NA,NA,5,NA,NA,4,NA,NA,5,NA,NA,3,NA,NA,6,NA,NA,5,NA,NA,5,NA,NA,4,1919,2,86
253120,2531201,5,NA,NA,6,NA,NA,7,NA,NA,1,NA,NA,6,NA,NA,6,NA,NA,3,NA,NA,4,NA,NA,4,NA,NA,7,NA,NA,3,NA,NA,6,NA,NA,6,NA,NA,1,NA,NA,2,NA,NA,7,NA,NA,6,NA,NA,3,NA,NA,3,1923,1,82
253120,2531202,6,4,NA,6,5,NA,8,6,NA,4,3,NA,6,5,NA,6,6,NA,7,7,NA,1,3,NA,7,7,NA,7,5,NA,6,5,NA,5,5,NA,4,4,NA,5,4,NA,7,5,NA,7,7,NA,6,5,NA,4,6,NA,3,1923,2,82
253138,2531301,8,6,NA,7,5,NA,8,6,NA,2,4,NA,5,4,NA,5,5,NA,5,6,NA,1,2,NA,7,7,NA,5,4,NA,3,6,NA,5,3,NA,6,5,NA,2,5,NA,2,4,NA,4,3,NA,5,4,NA,4,3,NA,2,1913,2,92
253162,2531601,9,2,8,9,3,8,10,10,9,1,7,1,7,7,7,7,7,7,6,7,7,5,3,1,7,7,7,6,6,7,5,5,7,6,6,7,7,6,7,5,5,3,4,5,2,6,6,4,5,6,7,6,6,4,2,1930,1,75
253162,2531602,10,10,9,10,7,9,10,10,10,3,4,2,7,7,7,6,7,7,6,7,7,3,3,2,7,7,7,7,7,7,6,5,2,7,7,7,6,7,7,2,3,2,3,4,2,7,5,7,6,7,7,6,7,7,1,1941,2,64
253189,2531801,1,NA,NA,8,NA,NA,1,NA,NA,3,NA,NA,6,NA,NA,4,NA,NA,6,NA,NA,3,NA,NA,7,NA,NA,4,NA,NA,3,NA,NA,6,NA,NA,5,NA,NA,6,NA,NA,4,NA,NA,7,NA,NA,6,NA,NA,7,NA,NA,5,1934,1,71
253189,2531802,7,5,8,8,-1,8,9,8,8,1,1,1,6,2,7,7,7,6,7,6,7,4,4,6,7,6,7,6,4,6,6,6,5,6,6,6,4,5,6,4,3,5,5,3,1,6,6,6,6,6,6,4,4,2,3,1938,2,67
253294,2532901,7,4,7,5,1,6,7,3,7,6,4,4,6,6,6,6,5,5,7,6,5,3,3,5,6,6,5,5,5,6,4,2,4,6,5,4,6,2,4,7,3,5,3,4,4,6,6,5,3,5,4,4,5,5,2,1967,2,38
253294,2532902,NA,3,NA,NA,0,NA,NA,5,NA,NA,4,NA,NA,6,NA,NA,6,NA,NA,7,NA,NA,1,NA,NA,7,NA,NA,5,NA,NA,4,NA,NA,3,NA,NA,5,NA,NA,6,NA,NA,1,NA,NA,2,NA,NA,7,NA,NA,3,NA,NA,1991,2,14
253308,2533001,7,2,9,6,8,10,9,7,9,2,3,2,6,6,6,6,6,6,6,6,6,5,6,4,5,5,4,7,7,7,3,4,4,7,7,7,6,5,6,2,3,2,2,3,4,7,7,7,4,3,5,6,5,5,2,1955,2,50
253308,2533002,8,7,8,7,7,8,8,9,9,2,2,4,7,5,5,7,6,6,6,6,6,2,2,3,6,6,7,6,6,6,6,5,5,4,4,5,6,3,4,6,6,5,5,4,6,6,5,6,7,7,7,6,6,6,2,1952,1,53
253308,2533003,5,8,NA,3,8,NA,2,8,NA,2,3,NA,5,7,NA,7,7,NA,5,5,NA,5,4,NA,4,6,NA,4,4,NA,4,5,NA,6,4,NA,6,5,NA,4,2,NA,2,6,NA,6,7,NA,7,7,NA,7,6,NA,3,1988,2,17
253308,2533004,NA,9,9,NA,3,9,NA,7,8,NA,6,6,NA,6,4,NA,7,5,NA,5,5,NA,2,5,NA,6,5,NA,7,7,NA,1,2,NA,7,7,NA,6,3,NA,3,3,NA,2,3,NA,3,2,NA,5,5,NA,5,5,NA,1990,1,15
253308,3929102,NA,7,NA,NA,7,NA,NA,7,NA,NA,2,NA,NA,7,NA,NA,7,NA,NA,7,NA,NA,3,NA,NA,7,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,7,NA,NA,2,NA,NA,6,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,1989,1,16
